Command Line:
--------------------------
  1: ws
  2: crimes.txt
--------------------------

----------------------------------------------------------------------------------------
| The original Statistics                                                              |
----------------------------------------------------------------------------------------
| Ontario               | Scarborough     | [None]               |   2020 |  500 | 300 |
| New-Brunswick         | Fredericton     | Robbery              |   2020 |  790 | 435 |
| Quebec                | La-Prairie      | Assault              |   2019 |  748 | 448 |
| Nova-Scotia           | West-Nova       | Robbery              |   2020 |  764 | 464 |
| Alberta               | Bow-River       | Robbery              |   2020 |  800 | 500 |
| Manitoba              | Winnipeg-North  | Assault              |   2020 |  520 | 500 |
| Manitoba              | Provencher      | Robbery              |   2020 |  820 | 520 |
| British-Columbia      | Burnaby-South   | Fraud                |   2019 |  720 | 520 |
| Quebec                | Montreal        | Extortion            |   2020 |  620 | 600 |
----------------------------------------------------------------------------------------
|                                                                 Total Crimes:  35364 |
|                                                         Total Resolved Cases:  15659 |
----------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------
| The Statistics with fixed Crime Type Names                                           |
----------------------------------------------------------------------------------------
| New-Brunswick         | Fundy-Royal     | Robbery              |   2020 |  111 |  11 |
| Ontario               | Ajax            | Robbery              |   2019 |  520 |  20 |
| Nova-Scotia           | Kings-Hants     | Fraud                |   2020 |   21 |  20 |
| New-Brunswick         | Acadie-Bathurst | Robbery              |   2021 |  121 |  21 |
| Quebec                | Quebec-City     | Robbery              |   2022 |   31 |  22 |
| Alberta               | Lakeland        |                      |   2020 |   32 |  22 |
| Saskatchewan          | Regina-Lewvan   | Fraud                |   2021 |  230 |  30 |
| Quebec                | Bourassa        | Fraud                |   2020 |  433 |  33 |
| Nova-Scotia           | Kings-Hants     | Fraud                |   2019 |   65 |  45 |
| Manitoba              | Portage-Lisgar  | Fraud                |   2021 |  160 |  60 |
| New-Brunswick         | Acadie-Bathurst |                      |   2019 |  169 |  69 |
| Quebec                | Bourassa        | Fraud                |   2019 |  170 |  70 |
| Alberta               | Foothills       | Robbery              |   2020 |  180 |  80 |
| Quebec                | La-Prairie      | Assault              |   2021 |  488 |  88 |
| Nova-Scotia           | West-Nova       |                      |   2021 |  190 |  90 |
| New-Brunswick         | Acadie-Bathurst | Robbery              |   2020 |  498 |  98 |
| Manitoba              | Portage-Lisgar  | Fraud                |   2019 |  100 |  98 |
| Alberta               | Foothills       | Robbery              |   2019 |  324 | 100 |
| Saskatchewan          | Regina-Lewvan   | Robbery              |   2021 |  159 | 100 |
| Manitoba              | Winnipeg-North  | Assault              |   2019 |  139 | 100 |
| Alberta               | Lethbridge      | Extortion            |   2019 |  234 | 104 |
| Alberta               | Bow-River       | Robbery              |   2019 |  665 | 110 |
| Ontario               | Scarborough     | Assault              |   2019 |  390 | 111 |
| Nova-Scotia           | Kings-Hants     | Fraud                |   2021 |  214 | 114 |
| Manitoba              | Provencher      | Robbery              |   2019 |  222 | 120 |
| Yukon                 | Yukon           | Extortion            |   2019 |  121 | 121 |
| Alberta               | Lethbridge      | Extortion            |   2021 |  231 | 131 |
| Nova-Scotia           | Halifax         | Fraud                |   2021 |  432 | 132 |
| Saskatchewan          | Regina-Lewvan   | Robbery              |   2019 |  333 | 133 |
| Nova-Scotia           | Halifax         | Fraud                |   2019 |  743 | 143 |
| Saskatchewan          | Prince-Albert   | Assault              |   2019 |  444 | 144 |
| Alberta               | Foothills       | Robbery              |   2021 |  844 | 144 |
| Ontario               | Milton          | Fraud                |   2019 |  345 | 145 |
| Quebec                | Montreal        | Extortion            |   2021 |  149 | 149 |
| British-Columbia      | Abbotsford      |                      |   2021 |  555 | 150 |
| Manitoba              | Winnipeg-North  | Assault              |   2021 |  452 | 152 |
| New-Brunswick         | Fundy-Royal     | Robbery              |   2019 |  453 | 153 |
| Ontario               | Milton          | Fraud                |   2020 |  954 | 154 |
| Saskatchewan          | Prince-Albert   | Assault              |   2020 |  654 | 154 |
| British-Columbia      | Burnaby-South   | Fraud                |   2020 |  765 | 165 |
| British-Columbia      | Richmond-Centre | Extortion            |   2021 |  566 | 166 |
| British-Columbia      | Richmond-Centre | Extortion            |   2020 |  377 | 177 |
| New-Brunswick         | Fredericton     | Robbery              |   2019 |  678 | 178 |
| Nova-Scotia           | Halifax         | Fraud                |   2020 |  784 | 184 |
| British-Columbia      | Burnaby-South   | Fraud                |   2021 |  987 | 187 |
| Saskatchewan          | Prince-Albert   | Assault              |   2021 |  290 | 190 |
| Ontario               | Scarborough     | Assault              |   2021 |  700 | 200 |
| New-Brunswick         | Fredericton     |                      |   2021 |  313 | 213 |
| Quebec                | Bourassa        | Fraud                |   2021 |  321 | 221 |
| British-Columbia      | Abbotsford      | Fraud                |   2020 |  490 | 222 |
| Alberta               | Lakeland        | Assault              |   2021 |  333 | 233 |
| Alberta               | Lakeland        | Assault              |   2019 |  932 | 240 |
| British-Columbia      | Abbotsford      | Fraud                |   2019 |  590 | 245 |
| Alberta               | Lethbridge      | Extortion            |   2020 |  876 | 276 |
| Ontario               | Scarborough     |                      |   2020 |  500 | 300 |
| Nova-Scotia           | West-Nova       | Robbery              |   2019 |  421 | 321 |
| British-Columbia      | Richmond-Centre | Extortion            |   2019 |  544 | 344 |
| Manitoba              | Portage-Lisgar  | Fraud                |   2020 |  600 | 350 |
| Ontario               | Ajax            | Robbery              |   2020 |  456 | 356 |
| New-Brunswick         | Fundy-Royal     | Robbery              |   2021 |  567 | 367 |
| Saskatchewan          | Prince-Albert   | Assault              |   2021 |  674 | 374 |
| Ontario               | Ajax            | Robbery              |   2021 |  690 | 390 |
| Alberta               | Bow-River       | Robbery              |   2021 |  500 | 400 |
| Quebec                | Montreal        |                      |   2019 |  420 | 400 |
| Quebec                | La-Prairie      |                      |   2020 |  900 | 400 |
| Saskatchewan          | Regina-Lewvan   | Robbery              |   2020 |  812 | 412 |
| Manitoba              | Provencher      | Robbery              |   2021 |  920 | 420 |
| New-Brunswick         | Fredericton     | Robbery              |   2020 |  790 | 435 |
| Quebec                | La-Prairie      | Assault              |   2019 |  748 | 448 |
| Nova-Scotia           | West-Nova       | Robbery              |   2020 |  764 | 464 |
| Alberta               | Bow-River       | Robbery              |   2020 |  800 | 500 |
| Manitoba              | Winnipeg-North  | Assault              |   2020 |  520 | 500 |
| Manitoba              | Provencher      | Robbery              |   2020 |  820 | 520 |
| British-Columbia      | Burnaby-South   | Fraud                |   2019 |  720 | 520 |
| Quebec                | Montreal        | Extortion            |   2020 |  620 | 600 |
----------------------------------------------------------------------------------------
|                                                                 Total Crimes:  35364 |
|                                                         Total Resolved Cases:  15659 |
----------------------------------------------------------------------------------------
There are Fraud cases in the data collection.
----------------------------------------------------------------------------------------
| Crimes in Ontario                                                                    |
----------------------------------------------------------------------------------------
| Ontario               | Ajax            | Robbery              |   2019 |  520 |  17 |
| Ontario               | Scarborough     | Assault              |   2019 |  390 | 108 |
| Ontario               | Milton          | Fraud                |   2019 |  345 | 142 |
| Ontario               | Milton          | Fraud                |   2020 |  954 | 151 |
| Ontario               | Scarborough     | Assault              |   2021 |  700 | 197 |
| Ontario               | Scarborough     |                      |   2020 |  500 | 297 |
| Ontario               | Ajax            | Robbery              |   2020 |  456 | 353 |
| Ontario               | Ajax            | Robbery              |   2021 |  690 | 387 |
----------------------------------------------------------------------------------------
